Borough,Number of Tax Payers,Mean Tax Payer Income (£),Median Tax Payer Income (£),Year
Merton,105000,44400,25800,2013
Newham,130000,23100,18500,2013
Redbridge,128000,31800,23800,2013
Richmond upon Thames,102000,58800,33400,2013
Southwark,135000,37500,25000,2013
Sutton,97000,32400,25000,2013
Tower Hamlets,115000,39000,25800,2013
Waltham Forest,121000,26200,21400,2013
Wandsworth,155000,54700,31000,2013
Westminster,99000,92200,35200,2013
City of London,9000,151000,65300,2014
Barking and Dagenham,77000,24600,21000,2014
Barnet,167000,45500,26800,2014
Bexley,118000,29600,24400,2014
Brent,150000,29700,21300,2014
Bromley,173000,39000,27200,2014
Camden,99000,78900,32000,2014
Croydon,173000,31800,24300,2014
Ealing,166000,34500,23200,2014
Enfield,136000,32900,23900,2014
Greenwich,110000,34200,23500,2014
Hackney,100000,36300,26000,2014
Hammersmith and Fulham,93000,61300,30100,2014
Haringey,122000,39100,24400,2014
Harrow,122000,36000,25200,2014
Havering,122000,31300,24700,2014
Hillingdon,139000,31300,23600,2014
Hounslow,130000,35800,23700,2014
Islington,104000,51900,28700,2014
Kensington and Chelsea,71000,156000,37600,2014
Kingston upon Thames,84000,41900,26100,2014
Lambeth,151000,40600,26800,2014
Lewisham,126000,31500,24000,2014
Merton,105000,48700,27800,2014
Newham,124000,24800,20100,2014
Redbridge,130000,33100,25100,2014
Richmond upon Thames,107000,64000,33700,2014
Southwark,136000,40500,26200,2014
Sutton,103000,32800,25100,2014
Tower Hamlets,119000,40800,27000,2014
Waltham Forest,124000,27000,21900,2014
Wandsworth,164000,59900,31900,2014
Westminster,100000,107000,36400,2014
