Borough,Year,Births rate,Deaths rate,Active enterprises
City of London,2013,12.94,8.64,"17,775.00"
Barking and Dagenham,2013,23.44,11.67,"5,055.00"
Barnet,2013,16.14,12.41,"23,135.00"
Bexley,2013,17.11,11.24,"7,830.00"
Brent,2013,18.07,11.21,"13,915.00"
Bromley,2013,14.79,9.56,"14,065.00"
Camden,2013,14.49,9.59,"27,530.00"
Croydon,2013,17.06,11.14,"13,515.00"
Ealing,2013,19.62,10.30,"16,310.00"
Enfield,2013,18.81,10.69,"12,065.00"
Greenwich,2013,20.91,11.18,"8,320.00"
Hackney,2013,20.06,8.85,"14,180.00"
Hammersmith and Fulham,2013,17.82,10.54,"12,850.00"
Haringey,2013,19.15,10.75,"11,020.00"
Harrow,2013,16.73,10.87,"12,970.00"
Havering,2013,16.47,10.43,"8,865.00"
Hillingdon,2013,16.51,10.45,"11,630.00"
Hounslow,2013,18.07,10.22,"12,230.00"
Islington,2013,20.18,9.61,"16,850.00"
Kensington and Chelsea,2013,16.13,9.55,"12,985.00"
Kingston upon Thames,2013,14.58,10.39,"8,130.00"
Lambeth,2013,28.54,12.94,"17,925.00"
Lewisham,2013,20.54,10.92,"8,885.00"
Merton,2013,18.42,10.89,"10,560.00"
Newham,2013,24.82,13.23,"8,540.00"
Redbridge,2013,20.11,12.74,"12,085.00"
Richmond upon Thames,2013,14.77,9.38,"13,065.00"
Southwark,2013,18.07,10.67,"14,580.00"
Sutton,2013,14.93,10.19,"7,805.00"
Tower Hamlets,2013,22.09,11.34,"15,030.00"
Waltham Forest,2013,20.74,12.37,"8,970.00"
Wandsworth,2013,19.21,10.33,"16,550.00"
Westminster,2013,15.18,9.71,"50,915.00"
City of London,2014,13.56,8.34,"19,250.00"
Barking and Dagenham,2014,23.02,11.69,"5,690.00"
Barnet,2014,16.23,11.59,"24,555.00"
Bexley,2014,17.26,10.56,"8,430.00"
Brent,2014,17.61,10.73,"14,680.00"
Bromley,2014,14.77,9.68,"14,825.00"
Camden,2014,15.08,9.29,"29,020.00"
Croydon,2014,16.60,10.59,"14,400.00"
Ealing,2014,17.80,10.53,"17,475.00"
Enfield,2014,17.71,11.33,"13,015.00"
Greenwich,2014,18.83,11.42,"8,975.00"
Hackney,2014,20.16,9.69,"16,095.00"
Hammersmith and Fulham,2014,17.68,11.40,"13,465.00"
Haringey,2014,18.44,10.78,"11,875.00"
Harrow,2014,17.07,10.32,"14,000.00"
Havering,2014,15.72,10.43,"9,445.00"
Hillingdon,2014,16.62,9.97,"12,485.00"
Hounslow,2014,17.80,9.86,"13,035.00"
Islington,2014,19.86,10.45,"18,710.00"
Kensington and Chelsea,2014,15.88,9.53,"13,635.00"
Kingston upon Thames,2014,14.91,9.80,"8,520.00"
Lambeth,2014,26.65,15.86,"20,900.00"
Lewisham,2014,19.43,11.58,"9,625.00"
Merton,2014,17.77,10.65,"11,225.00"
Newham,2014,24.52,12.91,"9,645.00"
Redbridge,2014,19.60,12.04,"13,160.00"
Richmond upon Thames,2014,14.54,9.19,"13,650.00"
Southwark,2014,18.47,10.28,"15,860.00"
Sutton,2014,14.53,9.99,"8,155.00"
Tower Hamlets,2014,20.91,11.67,"16,545.00"
Waltham Forest,2014,21.27,12.25,"9,875.00"
Wandsworth,2014,17.51,10.66,"17,445.00"
Westminster,2014,15.51,9.38,"53,160.00"
