Borough,Year,Murder,Wounding/GBH,Assault With Injury,Common Assault,Offensive Weapon,Harassment,Other Violence,Violence Against The Person,Rape,Other Sexual,Sexual Offences,Personal Property,Business Property,Robbery,Burglary in A Dwelling,Burglary in Other Buildings,Burglary,Theft/Taking Of Motor Vehicle,Theft From Motor Vehicle,Motor Vehicle Interference and Tampering,Theft From Shops,Theft Person,Theft/Taking Of Pedal Cycles,Other Theft,Handling Stolen Goods,Theft & Handling,Counted Per Victim,Other Fraud & Forgery,Fraud & Forgery,Criminal Damage to a Dwelling,Criminal Damage To Other Buildings,Criminal Damage To Motor Vehicle,Other Criminal Damage,Criminal Damage,Drug Trafficking,Possession Of Drugs,Other Drugs,Drugs,Going Equipped,Other Notifiable,Other Notifiable Offences,Total Notifiable Offences
Heathrow Airport,2007,0,2,70,152,216,72,12,524,3,33,36,9,0,9,0,30,30,36,206,5,317,58,8,2626,31,3287,172,332,504,2,13,79,23,117,5,52,0,57,3,486,489,5053
Westminster,2006,8,316,3153,2519,463,2517,469,9445,102,636,738,1518,59,1577,1692,2466,4158,931,3289,41,4346,6934,1453,26607,275,43876,3418,307,3725,639,773,1207,628,3247,264,3627,41,3932,113,771,884,71582
Camden,2006,21,211,2454,2029,198,1936,521,7370,67,392,459,1212,48,1260,2511,1597,4108,1086,3626,12,1470,3132,1521,10329,134,21310,1850,102,1952,1072,595,1566,490,3723,327,1389,21,1737,37,280,317,42236
Islington,2006,2,228,2559,1382,257,2066,508,7002,76,270,346,1307,105,1412,2278,1405,3683,1196,4668,123,1027,2572,1821,6598,64,18069,911,50,961,1088,449,1912,468,3917,167,1190,4,1361,53,246,299,37050
Hackney,2006,6,256,2704,2199,414,1343,549,7471,136,327,463,1778,78,1856,2467,1080,3547,1749,3637,112,686,2203,1111,4891,113,14502,920,95,1015,1125,328,1457,389,3299,310,1805,10,2125,42,310,352,34630
Tower Hamlets,2006,0,256,2782,1725,249,1967,476,7455,85,316,401,1604,71,1675,2108,1359,3467,1570,3642,73,728,1403,1307,5005,68,13796,1348,42,1390,1101,457,1679,483,3720,136,1272,6,1414,34,404,438,33756
Greenwich,2006,4,194,2863,2336,241,1786,289,7713,120,250,370,1145,84,1229,1952,1257,3209,1611,2498,240,1435,690,451,3325,47,10297,1529,130,1659,1799,558,2298,740,5395,145,1064,5,1214,17,251,268,31354
Lewisham,2006,9,164,3870,1828,266,1889,437,8463,85,295,380,2161,143,2304,2309,1215,3524,1759,2413,37,1086,1188,492,3714,55,10744,1598,125,1723,1511,442,2089,520,4562,209,1151,5,1365,11,311,322,33387
Southwark,2006,7,360,3741,2096,398,1774,689,9065,126,331,457,2791,190,2981,2439,1704,4143,1554,3918,115,1122,1688,1191,6351,74,16013,1716,121,1837,1226,507,1554,605,3892,323,2122,13,2458,37,549,586,41432
Lambeth,2006,7,292,3708,2251,566,1597,570,8991,139,438,577,2759,239,2998,2834,1050,3884,1368,3250,79,924,2560,1196,6508,105,15990,1146,99,1245,1744,483,2013,529,4769,332,2625,23,2980,61,473,534,41968
Wandsworth,2006,5,155,2484,1641,175,1386,293,6139,61,267,328,1565,103,1668,2154,954,3108,1249,3087,64,1366,1179,1346,3882,53,12226,1530,59,1589,1015,446,1587,461,3509,110,1151,2,1263,25,275,300,30130
Hammersmith and Fulham,2006,2,142,1832,1144,190,1469,262,5041,56,167,223,1244,41,1285,2240,812,3052,779,3273,60,1080,1324,1017,4043,94,11670,909,33,942,783,323,1122,264,2492,60,851,3,914,31,211,242,25861
Kensington and Chelsea,2006,4,64,1255,1002,120,776,104,3325,42,169,211,876,30,906,1559,885,2444,772,2330,10,1699,1799,919,6221,40,13790,1087,29,1116,465,240,828,256,1789,187,771,10,968,36,146,182,24731
Waltham Forest,2006,7,191,2653,1670,259,1763,288,6831,84,194,278,2273,119,2392,1962,1169,3131,1643,3155,206,1092,1100,271,2991,66,10524,1490,64,1554,1000,481,1759,431,3671,144,1321,3,1468,14,280,294,30143
Redbridge,2006,6,102,1907,813,166,700,282,3976,46,161,207,1249,80,1329,2237,1045,3282,1575,2874,266,1164,681,203,3257,45,10065,1886,62,1948,695,372,1395,330,2792,119,718,1,838,12,230,242,24679
Havering,2006,2,161,1847,1041,100,853,168,4172,49,164,213,393,66,459,1091,1362,2453,1457,2761,110,1285,669,178,2258,24,8742,1518,18,1536,699,596,1647,596,3538,75,429,1,505,14,140,154,21772
Barking and Dagenham,2006,4,143,2441,1191,153,1190,166,5288,66,192,258,695,80,775,1119,802,1921,1412,1883,89,680,415,220,2454,41,7194,1684,116,1800,1098,429,1871,555,3953,73,569,5,647,14,212,226,22062
Newham,2006,12,249,3417,1932,343,1946,523,8422,112,277,389,2310,191,2501,2680,1432,4112,2311,4679,197,1112,1568,336,4274,46,14523,2308,130,2438,1383,414,2011,478,4286,368,1645,3,2016,17,316,333,39020
Bexley,2006,3,119,1887,1130,145,959,130,4373,36,163,199,421,52,473,1207,1159,2366,1057,1756,187,985,218,133,1764,36,6136,1020,56,1076,980,761,2155,786,4682,57,452,3,512,9,185,194,20011
Bromley,2006,2,111,2683,1155,107,1302,139,5499,54,239,293,816,85,901,2113,1813,3926,1556,3287,279,1726,688,225,3245,32,11038,1918,42,1960,1216,926,3081,1018,6241,171,590,1,762,9,164,173,30793
Croydon,2006,10,187,3069,2299,225,1704,269,7763,113,239,352,1711,134,1845,2291,1291,3582,1788,2699,289,1597,1038,325,4239,42,12017,2843,57,2900,1411,646,2312,710,5079,139,905,4,1048,6,267,273,34859
Sutton,2006,0,100,1311,836,104,660,150,3161,39,151,190,387,24,411,669,811,1480,774,1568,71,1048,253,307,2065,30,6116,968,28,996,627,571,1416,556,3170,23,403,2,428,5,120,125,16077
Merton,2006,3,71,1659,853,175,737,166,3664,39,165,204,587,38,625,1024,772,1796,819,1476,18,997,369,530,2523,18,6750,934,38,972,644,375,1201,447,2667,56,385,3,444,13,164,177,17299
Kingston upon Thames,2006,2,68,1712,740,94,493,131,3240,42,134,176,316,21,337,626,562,1188,336,938,47,1152,433,859,2364,14,6143,722,31,753,454,443,1456,432,2785,84,340,1,425,8,86,94,15141
Richmond upon Thames,2006,2,50,1082,595,74,441,101,2345,20,119,139,424,31,455,1391,1004,2395,478,1462,73,640,251,765,1945,26,5640,489,28,517,483,648,1259,630,3020,25,264,0,289,12,79,91,14891
Hounslow,2006,4,131,2396,1581,151,1704,467,6434,71,213,284,783,58,841,1848,1134,2982,1203,3032,147,1173,586,613,2946,24,9724,1936,65,2001,937,469,1886,612,3904,124,693,0,817,13,233,246,27233
Hillingdon,2006,3,152,2752,1073,148,1826,307,6261,45,257,302,784,92,876,1847,1290,3137,1481,3035,5,1412,713,367,2644,30,9687,1132,40,1172,1048,729,2632,894,5303,95,1320,5,1420,9,210,219,28377
Ealing,2006,8,192,3189,2081,221,1752,435,7878,101,225,326,1886,126,2012,3277,1722,4999,2004,4504,65,1420,1081,584,3780,38,13476,1742,58,1800,1262,621,2333,600,4816,152,1374,6,1532,30,426,456,37295
Brent,2006,10,192,3043,1918,315,2263,512,8253,97,222,319,2247,108,2355,2557,1347,3904,1577,3246,40,942,1438,326,3744,58,11371,1788,125,1913,975,403,1770,462,3610,255,2835,4,3094,18,303,321,35140
Harrow,2006,2,84,1112,958,91,600,181,3028,37,119,156,828,34,862,1614,832,2446,636,2162,37,709,680,140,2466,19,6849,1218,55,1273,469,321,1162,270,2222,36,466,0,502,5,138,143,17481
Barnet,2006,4,116,2357,1639,125,1922,230,6393,70,239,309,1131,95,1226,2794,1569,4363,1994,4320,292,2099,996,398,5062,39,15200,1955,49,2004,1003,493,2269,645,4410,65,682,3,750,17,199,216,34871
Haringey,2006,4,234,3019,1347,368,1425,525,6922,110,314,424,1919,105,2024,2851,990,3841,1902,3090,97,1433,1985,405,4451,129,13492,2032,110,2142,1130,429,1837,465,3861,443,1784,5,2232,39,390,429,35367
Enfield,2006,5,144,1719,1911,209,1055,213,5256,72,221,293,1354,100,1454,2433,1411,3844,1801,2496,199,1084,763,226,3066,68,9703,1495,33,1528,1151,435,1844,516,3946,102,1062,7,1171,12,266,278,27473
Heathrow Airport,2006,0,2,62,181,286,78,16,625,0,29,29,7,0,7,0,35,35,35,255,0,321,80,2,2972,49,3714,464,418,882,3,13,94,20,130,8,41,1,50,7,545,552,6024
Westminster,2005,5,304,2805,3317,816,2623,584,10454,113,659,772,1439,66,1505,1886,2611,4497,1086,3467,29,4070,8289,1347,29741,334,48363,4908,254,5162,818,914,1524,669,3925,380,3252,41,3673,128,859,987,79338
Camden,2005,8,220,2264,2484,274,1942,464,7656,68,467,535,1277,38,1315,2391,1780,4171,1287,3795,23,1437,2499,1337,12151,131,22660,3078,92,3170,1138,668,1759,488,4053,339,1176,32,1547,61,264,325,45432
Islington,2005,7,200,2335,2019,292,2158,606,7617,93,275,368,1161,83,1244,2451,1230,3681,1340,3678,29,1006,2391,1745,7549,84,17822,1422,66,1488,1356,523,1970,453,4302,291,796,7,1094,36,304,340,37956
Hackney,2005,9,231,2261,2556,468,1281,483,7289,132,322,454,1854,72,1926,2733,1164,3897,1814,3640,72,557,2065,980,5521,113,14762,1575,87,1662,1534,428,1739,385,4086,290,1802,13,2105,38,273,311,36492
Tower Hamlets,2005,6,228,1958,2906,325,2050,422,7895,85,325,410,1346,111,1457,1699,1371,3070,1843,3437,34,755,1289,1156,6703,85,15302,2239,54,2293,1466,611,1895,455,4427,126,968,5,1099,47,329,376,36329
Greenwich,2005,8,177,2216,3071,226,1792,380,7870,99,253,352,1096,76,1172,1806,1164,2970,1880,2235,21,1451,605,275,3712,50,10229,1598,88,1686,2202,613,2070,665,5550,150,781,6,937,20,400,420,31186
Lewisham,2005,5,174,2627,2647,366,1504,535,7858,96,311,407,1684,99,1783,2611,1167,3778,1875,2071,26,1242,1162,346,4177,82,10981,3512,87,3599,1519,495,2118,511,4643,326,1081,13,1420,25,339,364,34833
Southwark,2005,9,274,3398,2727,438,1789,703,9338,126,353,479,2277,129,2406,2694,1717,4411,2359,3605,242,1084,1689,1070,6737,135,16921,2603,118,2721,1889,670,2248,607,5414,222,1375,11,1608,47,426,473,43771
Lambeth,2005,10,298,2808,3383,517,1979,818,9813,146,456,602,2922,99,3021,3105,1045,4150,1651,3349,50,1004,2503,952,7723,169,17401,1944,128,2072,1975,558,2379,567,5479,329,2366,33,2728,63,455,518,45784
Wandsworth,2005,4,140,2020,1917,234,1246,337,5898,64,269,333,1407,68,1475,2675,941,3616,1259,2867,44,1408,999,1217,4937,57,12788,2096,85,2181,1255,551,1891,523,4220,83,727,8,818,37,275,312,31641
Hammersmith and Fulham,2005,3,149,1218,1708,205,1027,312,4622,63,163,226,1340,46,1386,2214,809,3023,925,3605,49,1030,1517,1085,4501,66,12778,949,54,1003,886,413,1378,273,2950,92,771,9,872,41,238,279,27139
Kensington and Chelsea,2005,9,61,1006,1282,123,673,118,3272,36,282,318,761,31,792,1680,900,2580,872,2439,16,1715,1806,877,7195,49,14969,1458,73,1531,556,316,963,264,2099,355,679,12,1046,39,166,205,26812
Waltham Forest,2005,3,155,1702,2358,313,1444,266,6241,55,184,239,1714,82,1796,1838,1306,3144,1590,3098,17,990,1338,227,3615,67,10942,1821,68,1889,1160,523,1988,374,4045,48,886,3,937,6,252,258,29491
Redbridge,2005,4,159,1458,1647,149,914,359,4690,72,209,281,1168,73,1241,1811,1247,3058,1808,3053,25,1065,639,141,3588,28,10347,2201,43,2244,802,519,1803,472,3596,48,441,1,490,12,214,226,26173
Havering,2005,0,99,1274,1715,155,771,177,4191,30,129,159,351,91,442,903,1412,2315,1527,1999,32,1221,574,181,2152,26,7712,1675,16,1691,751,767,2121,623,4262,51,454,0,505,14,140,154,21431
Barking and Dagenham,2005,8,132,2034,1634,184,1008,224,5224,74,170,244,661,78,739,1159,1016,2175,1610,1540,25,619,462,215,2170,50,6691,1794,38,1832,1231,464,1721,458,3874,35,379,4,418,18,227,245,21442
Newham,2005,9,252,3105,2313,336,1401,561,7977,151,298,449,1765,174,1939,1942,1468,3410,2202,3853,26,1060,1508,312,4509,126,13596,3015,121,3136,1491,403,2084,472,4450,179,945,10,1134,33,336,369,36460
Bexley,2005,2,96,1471,1361,124,833,242,4129,48,207,255,373,29,402,983,1003,1986,1179,1406,164,918,219,144,1515,45,5590,1053,45,1098,1073,778,2147,722,4720,61,433,6,500,8,171,179,18859
Bromley,2005,3,112,2313,1657,146,1341,190,5762,57,251,308,657,72,729,1917,1859,3776,1547,2606,147,1774,601,284,3394,37,10390,2190,27,2217,1651,998,2905,1073,6627,174,542,8,724,24,204,228,30761
Croydon,2005,10,227,2947,2878,282,1767,493,8604,90,321,411,1418,78,1496,2145,1085,3230,1891,2644,192,1614,902,294,3987,41,11565,3052,69,3121,1626,866,2271,711,5474,97,680,5,782,18,303,321,35004
Sutton,2005,1,95,1087,1302,93,855,122,3555,31,139,170,203,28,231,701,728,1429,779,1577,20,912,207,263,2058,27,5843,1279,16,1295,885,708,1533,778,3904,42,337,0,379,9,127,136,16942
Merton,2005,0,99,1367,1185,154,836,159,3800,45,171,216,419,40,459,974,790,1764,869,1224,143,862,319,503,2480,23,6423,1135,82,1217,762,531,1164,439,2896,43,302,1,346,6,154,160,17281
Kingston upon Thames,2005,2,66,1417,1064,83,750,138,3520,37,144,181,238,19,257,456,528,984,386,800,51,1222,448,784,2592,8,6291,1111,29,1140,534,604,1221,476,2835,44,313,7,364,8,110,118,15690
Richmond upon Thames,2005,3,58,926,682,77,631,193,2570,22,152,174,344,32,376,1120,897,2017,448,1269,70,648,179,878,2498,13,6003,541,21,562,614,688,1303,629,3234,26,271,2,299,8,77,85,15320
Hounslow,2005,5,111,1680,2594,147,1700,535,6772,75,217,292,664,48,712,1889,1080,2969,1534,2859,158,1096,502,528,3042,36,9755,2021,51,2072,1106,529,2142,637,4414,165,472,6,643,21,258,279,27908
Hillingdon,2005,1,159,2236,1675,134,1407,309,5921,52,216,268,542,51,593,2056,1087,3143,1558,3254,16,1357,510,251,2910,27,9883,1599,48,1647,1201,841,2660,796,5498,64,544,6,614,10,223,233,27800
Ealing,2005,8,237,2638,2815,215,1601,495,8009,77,311,388,1476,89,1565,2824,1526,4350,2340,4546,16,1395,1125,571,3854,47,13894,1881,71,1952,1404,654,2073,548,4679,109,1005,3,1117,40,424,464,36418
Brent,2005,17,204,3041,2492,282,2367,732,9135,99,199,298,2015,69,2084,2805,1182,3987,1616,2653,69,916,1393,325,4128,59,11159,3111,133,3244,1182,489,1735,515,3921,93,1203,2,1298,28,428,456,35582
Harrow,2005,0,78,996,1065,105,614,183,3041,50,143,193,669,30,699,1492,686,2178,728,2177,70,671,420,133,2689,36,6924,1825,61,1886,582,367,1397,298,2644,42,331,3,376,14,152,166,18107
Barnet,2005,3,132,2351,1972,155,2291,279,7183,84,295,379,1132,79,1211,2689,1356,4045,2106,3490,280,1999,965,341,6334,42,15557,3627,90,3717,1197,641,2142,710,4690,80,724,4,808,32,265,297,37887
Haringey,2005,10,208,2318,1705,361,1222,502,6326,99,324,423,1365,65,1430,3184,900,4084,2089,2907,73,1278,2129,339,4906,102,13823,2728,156,2884,1496,471,2021,405,4393,453,1271,4,1728,20,442,462,35553
Enfield,2005,10,119,1581,2117,218,862,283,5190,74,173,247,1064,79,1143,2251,1277,3528,1995,2861,270,1089,728,214,3577,59,10793,2007,48,2055,1199,546,2044,489,4278,70,478,5,553,20,324,344,28131
Heathrow Airport,2005,0,0,81,208,103,96,16,504,3,30,33,5,2,7,0,58,58,33,160,1,299,65,2,3521,26,4107,368,309,677,5,21,53,23,102,3,43,3,49,6,625,631,6168
