Borough,Total Citizens,Men,Women,Year
Hounslow,265568,134373,131195,2014
Islington,221030,110053,110977,2014
Kensington and Chelsea,156190,77257,78933,2014
Kingston upon Thames,169958,83413,86545,2014
Lambeth,318216,159544,158672,2014
Lewisham,291933,143521,148412,2014
Merton,203515,99963,103552,2014
Newham,324322,169184,155138,2014
Redbridge,293055,145177,147878,2014
Richmond upon Thames,193585,94052,99533,2014
Southwark,302538,149977,152561,2014
Sutton,198134,96508,101626,2014
Tower Hamlets,284015,146939,137076,2014
Waltham Forest,268020,133876,134144,2014
Wandsworth,312145,150020,162125,2014
Westminster,233292,120477,112815,2014
