Borough,Total Job seekers,Job seeker Rate,Year
Barking and Dagenham,17150,13.7,2014
Barnet,17520,7.2,2014
Bexley,10600,7.0,2014
Brent,26690,12.2,2014
Bromley,12800,6.4,2014
Camden,13300,7.9,2014
Croydon,23970,9.8,2014
Ealing,24150,10.5,2014
Enfield,25800,12.3,2014
Greenwich,20020,11.0,2014
Hackney,26040,13.7,2014
Hammersmith and Fulham,13230,10.2,2014
Haringey,26290,13.9,2014
Harrow,10030,6.3,2014
Havering,12590,8.2,2014
Hillingdon,12710,6.6,2014
Hounslow,13900,7.7,2014
Islington,18320,11.0,2014
Kensington and Chelsea,7900,7.3,2014
Kingston upon Thames,5450,4.8,2014
Lambeth,31190,13.2,2014
Lewisham,25810,12.7,2014
Merton,10410,7.6,2014
Newham,27260,12.0,2014
Redbridge,15670,8.2,2014
Richmond upon Thames,5880,4.7,2014
Southwark,28430,12.8,2014
Sutton,8050,6.3,2014
Tower Hamlets,25700,12.3,2014
Waltham Forest,24240,13.3,2014
Wandsworth,16630,7.3,2014
Westminster,12440,7.4,2014
